$WEATHER,DATA,:,Point,"Coupee,",LA,,
2002036,3.1,15,2.8,11.2,,,
2002037,2.4,5,3.9,13.7,,,
2002038,10.2,6.7,2.8,0,,,
2002039,16.9,13.9,0.6,0.3,,,
2002040,14.2,20,2.2,0,,,
2002041,17,20.6,2.2,0,,,
2002042,12.7,11.7,1.7,0,,,
2002043,17.5,15,-0.6,0,,,
2002044,16.5,18.9,-0.6,0.3,,,
2002045,17.8,18.3,0.6,0,,,
2002046,7.8,18.9,5.6,0.3,,,
2002047,19.6,17.2,3.3,0,,,
2002048,18.8,21.7,0.6,0,,,
2002049,18.5,22.8,0.6,0,,,
2002050,9.6,23.9,12.8,15.2,,,
2002051,19.6,22.8,7.8,13.5,,,
2002052,19.7,24.4,6.1,0,,,
2002053,14.5,15.6,2.2,0,,,
2002054,21.1,17.2,1.1,0,,,
2002055,19.5,20,1.1,0,,,
2002056,13.3,19.4,2.2,0,,,
2002057,19,15.6,-1.1,0,,,
2002058,22.7,6.1,-3.3,0,,,
2002059,21.6,13.9,-3.9,0,,,
2002060,1.4,11.1,6.7,67.1,,,
2002061,8.9,21.1,2.2,0,,,
2002062,9.3,3.9,-1.7,0,,,
2002063,23.3,8.9,-2.8,0,,,
2002064,23.2,15.6,-3.3,0,,,
2002065,17.8,21.1,5.6,0,,,
2002066,21,25,9.4,0,,,
2002067,12.8,25.6,9.4,0,,,
2002068,16,25.6,8.3,0,,,
2002069,21.4,17.2,3.3,0,,,
2002070,11.9,21.7,6.7,7.6,,,
2002071,12.7,20,8.9,5.1,,,
2002072,21,22.2,8.9,0,,,
2002073,15.4,24.4,10.6,0,,,
2002074,12.5,29.4,18.9,0,,,
2002075,13.2,20.6,20,0.3,,,
2002076,12.1,28.9,20.6,0,,,
2002077,15.5,29.4,20,0,,,
2002078,16.1,28.3,19.4,0,,,
2002079,11.5,26.7,13.9,26.7,,,
2002080,16.6,20,10.6,0,,,
2002081,25.1,13.9,3.3,0,,,
2002082,24.9,18.9,1.7,0,,,
2002083,17.4,24.4,8.3,0,,,
2002084,12.6,21.1,13.9,0,,,
2002085,9.8,21.1,5.6,17.3,,,
2002086,25.4,20.6,4.4,0,,,
2002087,20.9,20,5.6,0,,,
2002088,10.3,26.7,18.3,0,,,
2002089,10.6,27.8,18.9,0,,,
2002090,17.8,24.4,14.4,49.5,,,
2002091,16.6,22.8,12.8,0,,,
2002092,20.1,28.9,13.9,0,,,
2002093,21.7,28.9,10.6,0,,,
2002094,18.2,28.9,8.3,0,,,
2002095,25.9,21.1,7.8,0,,,
2002096,20.8,21.7,8.9,0,,,
2002097,19,26.1,9.4,0,,,
2002098,1.1,21.7,13.9,56.9,,,
2002099,17.6,24.4,10.6,31.8,,,
2002100,22.8,25.6,14.4,0,,,
2002101,16.9,26.7,15.6,0,,,
2002102,16.7,26.7,17.8,0,,,
2002103,20.4,26.7,15.6,0,,,
2002104,19.7,27.8,16.1,0,,,
2002105,21.4,28.9,16.1,0,,,
2002106,17.4,29.4,15.6,0,,,
2002107,23.2,30.6,19.4,0,,,
2002108,22.1,30.6,17.8,0,,,
2002109,21,31.1,19.4,0,,,
2002110,23,31.7,17.8,0,,,
2002111,22.8,31.7,20,0,,,
2002112,12,30.6,15.6,0,,,
2002113,21.1,24.8,16.3,0,,,
2002114,22.3,31.7,20,0,,,
2002115,14.7,23.3,18.9,0,,,
2002116,18.9,27.8,17.8,0,,,
2002117,19.4,31.1,17.8,0,,,
2002118,23.3,32.2,21.7,0,,,
2002119,19.3,33.3,20.6,0,,,
2002120,23,32.2,22.2,0,,,
2002121,22.3,31.7,20.6,0,,,
2002122,24.3,35,20.6,0,,,
2002123,19.4,33.3,22.8,0,,,
2002124,20.1,33.3,22.8,0,,,
2002125,22.3,34.4,21.7,0,,,
2002126,23.7,33.3,21.7,0,,,
2002127,27.2,34.4,22.2,0,,,
2002128,26.1,32.8,21.7,0,,,
2002129,24.3,33.9,22.2,0,,,
2002130,22.6,33.9,21.1,0,,,
2002131,23.2,33.3,21.1,0,,,
2002132,22.4,33.3,22.2,0,,,
2002133,11.9,24.4,14.4,12.9,,,
2002134,30.8,26.1,11.1,0,,,
2002135,28.6,30.6,14.4,0,,,
2002136,21.5,32.2,17.2,0,,,
2002137,10.1,32.2,17.2,14.7,,,
2002138,15,20,13.3,0.1,,,
2002139,28.2,24.4,10,0,,,
2002140,29.3,25.6,11.1,0,,,
2002141,29.1,27.8,13.9,0,,,
2002142,25.5,28.3,13.3,0,,,
2002143,28.9,28.9,12.8,0,,,
2002144,23.6,30.6,15,0,,,
2002145,24,32.8,20,0,,,
2002146,25.3,32.8,18.9,10.9,,,
2002147,27.5,32.8,18.3,0,,,
2002148,18.2,30.6,17.8,0,,,
2002149,21.8,32.2,19.4,2.8,,,
2002150,11.6,26.7,18.9,16,,,
2002151,21.9,30.6,18.9,13.9,,,
2002152,27.1,32.8,19.4,14.9,,,
2002153,27.7,34.4,20,21.4,,,
2002154,25.2,33.3,20,24.4,,,
2002155,25,35,21.7,0,,,
2002156,18.7,32.8,21.7,0,,,
2002157,24.8,33.3,21.7,0,,,
2002158,23.8,33.9,22.8,0,,,
2002159,17.4,32.8,22.8,0,,,
2002160,18.6,30.6,21.7,33,,,
2002161,15.3,32.2,21.7,1.3,,,
2002162,24.5,33.9,22.2,12.7,,,
2002163,25.7,33.9,22.2,0,,,
2002164,25.1,34.4,22.8,0,,,
2002165,26.9,33.3,22.8,0,,,
2002166,30.3,31.7,18.9,0,,,
2002167,12.9,28.9,21.1,0,,,
2002168,20.6,30,21.1,0.1,,,
2002169,23,32.2,21.1,2.6,,,
2002170,19.5,32.8,21.7,53.5,,,
2002171,20.2,32.8,21.7,32.1,,,
2002172,27.9,32.2,21.1,10.2,,,
2002173,22.9,30,20,0,,,
2002174,16.7,28.3,20,5.3,,,
2002175,19.6,30.6,20,1.3,,,
2002176,20.4,30,21.1,4.5,,,
2002177,11.7,26.1,21.7,10.2,,,
2002178,7.8,27.2,21.1,20.9,,,
2002179,11,30.6,22.2,7.6,,,
2002180,22.1,32.8,22.2,0,,,
2002181,22.4,33.9,21.7,0,,,
2002182,19.7,33.9,22.8,0,,,
2002183,19.3,32.2,22.8,7.6,,,
2002184,20.8,33.9,22.8,1.4,,,
2002185,22.3,33.9,22.8,0,,,
2002186,18.4,31.7,23.9,0,,,
2002187,24.6,35,23.3,8.9,,,
2002188,23.6,36.1,22.8,0.3,,,
2002189,21.5,34.4,22.2,6.5,,,
2002190,20.7,33.3,23.3,0.1,,,
2002191,22.4,32.8,23.3,0,,,
2002192,23.1,35.6,23.9,0,,,
2002193,24.2,35.6,22.8,5.1,,,
2002194,11.6,29.4,22.8,9.4,,,
2002195,19,31.7,22.2,20.8,,,
2002196,14.1,32.8,22.2,23.4,,,
2002197,20.1,32.8,21.7,15.4,,,
2002198,27.5,34.4,22.2,13.5,,,
2002199,27,35,22.8,0,,,
2002200,27.4,36.1,25,0,,,
2002201,27.6,36.1,24.4,0,,,
2002202,27.1,35.6,24.4,0,,,
2002203,23.6,35.6,22.8,0.8,,,
2002204,20.2,33.9,22.8,9.1,,,
2002205,21.8,34.4,22.2,6.5,,,
2002206,17,31.7,22.2,15,,,
2002207,14.7,32.8,23.9,2.1,,,
2002208,23.9,33.3,23.3,0,,,
2002209,24.8,35.6,24.4,11.4,,,
2002210,14,33.3,24.4,0,,,
2002211,12.2,29.4,22.8,1.9,,,
2002212,22.1,32.8,22.8,5,,,
2002213,22.6,33.3,23.9,0,,,
2002214,23.3,24.4,21.7,12.7,,,
2002215,25,35,22.8,1.3,,,
2002216,26.1,33.9,23.3,0,,,
2002217,16.6,29.4,23.3,2,,,
2002218,12.3,25,22.8,15.3,,,
2002219,22.9,26.1,25,1.3,,,
2002220,20.6,34.4,24.4,0,,,
2002221,23.9,33.3,23.9,0,,,
2002222,25,33.3,21.1,0,,,
2002223,20,32.8,21.7,7,,,
2002224,15.1,32.2,21.7,0,,,
2002225,20.9,32.6,20.7,1.3,,,
2002226,11.7,28.9,21.1,6.1,,,
2002227,6.7,28.9,22.2,5.6,,,
2002228,18.6,32.8,22.8,20.7,,,
2002229,17.2,33.9,23.9,7.3,,,
2002230,22.9,33.3,24.4,0,,,
2002231,19.4,35,23.9,0,,,
2002232,21.9,29.4,22.8,0,,,
2002233,19.5,33.9,22.8,0.1,,,
2002234,14.2,30,23.3,8.9,,,
2002235,14.9,32.8,22.8,0,,,
2002236,21.8,34.4,23.3,0,,,
2002237,19.2,33.3,22.8,0,,,
2002238,17.8,33.9,22.8,0,,,
2002239,23.6,32.8,21.1,0,,,
2002240,24.2,33.3,21.7,0,,,
2002241,21.9,32.8,22.2,0,,,
2002242,21.3,33.9,22.8,0,,,
2002243,21.1,33.3,22.8,0,,,
2002244,22.4,33.3,23.3,0,,,
2002245,16.8,32.8,22.8,0,,,
2002246,13.4,32.8,23.3,0,,,
2002247,9.5,30.6,22.8,8.3,,,
2002248,12,32.2,22.2,0,,,
2002249,8.9,28.9,22.8,7.8,,,
2002250,9.7,27.2,22.8,1.3,,,
2002251,8.7,27.2,23.3,1.9,,,
2002252,17.6,31.7,23.3,15.3,,,
2002253,21.6,32.8,22.8,0,,,
2002254,22.4,35,21.7,0,,,
2002255,21.9,35,23.9,0,,,
2002256,20.4,34.4,22.8,0,,,
2002257,21.1,34.4,23.3,0,,,
2002258,16.5,35.6,23.9,0,,,
2002259,11.9,32.8,23.3,1.3,,,
2002260,11.7,30,22.8,18.1,,,
2002261,19.7,33.3,23.3,1.3,,,
2002262,18.8,32.8,23.3,0,,,
2002263,13.3,30,23.9,1.9,,,
2002264,17.8,33.3,23.9,13.1,,,
2002265,12.6,28.3,23.3,0.3,,,
2002266,17.3,28.9,20.6,0,,,
2002267,6.4,28.9,20,0.7,,,
2002268,5.7,22.8,20,26.8,,,
2002269,7.5,22.8,20,18.3,,,
2002270,22.5,30,18.9,9.4,,,
2002271,20.4,30,18.9,0,,,
2002272,19.1,30.6,20,0,,,
2002273,14.9,31.1,20,0.7,,,
2002274,16.8,32.2,22.2,0,,,
2002275,12.3,31.1,22.8,11.8,,,
2002276,3,31.7,22.2,35,,,
2002277,17.2,32.8,23.9,0,,,
2002278,15.7,32.2,21.7,0,,,
2002279,17.1,31.7,22.2,0,,,
2002280,10.4,26.7,22.2,0.4,,,
2002281,9.5,26.7,18.9,6.8,,,
2002282,4.1,25,21.1,11.3,,,
2002283,12.5,28.9,19.4,0,,,
2002284,5.9,23.9,19.4,0,,,
2002285,17.1,26.1,20,8.5,,,
2002286,15.7,26.7,15,0,,,
2002287,16.1,26.1,12.8,0,,,
2002288,17.8,22.2,11.1,0,,,
2002289,20.7,22.8,10.6,4,,,
2002290,20,23.3,8.9,11.2,,,
2002291,19.2,26.7,12.2,8.9,,,
2002292,12,28.9,18.3,0.1,,,
2002293,6.4,25.6,18.9,1.3,,,
2002294,6,21.7,17.2,0.4,,,
2002295,9.7,25.6,16.7,4.5,,,
2002296,7,24.4,18.3,0.1,,,
2002297,9,25,18.3,0,,,
2002298,3.5,22.2,16.7,1.3,,,
2002299,4.4,22.2,20,15.8,,,
2002300,2.8,23.9,20,33.1,,,
2002301,3.9,24.4,22.2,16.1,,,
2002302,4.6,21.7,14.4,4.7,,,
2002303,17,26.1,13.9,5.1,,,
2002304,16.2,21.7,10,6.3,,,
2002305,13.4,18.3,15.6,0,,,
2002306,10.7,17.2,8.9,6.1,,,
2002307,3.9,18.3,11.7,17.3,,,
2002308,4.6,15,12.2,8.3,,,
2002309,5.7,22.8,12.2,23.5,,,
2002310,17.5,18.3,6.7,0,,,
2002311,17.5,19.4,5,0,,,
2002312,15.8,22.8,6.1,9.6,,,
2002313,11.3,27.2,15,0,,,
2002314,9.3,28.9,21.1,21.6,,,
2002315,10.2,28.9,16.1,0.1,,,
2002316,16.6,18.3,8.9,0,,,
2002317,16.8,18.3,5.6,0,,,
2002318,13.2,21.1,4.4,11.6,,,
2002319,8.4,22.2,5.6,12.9,,,
2002320,9.8,12.2,5.6,0,,,
2002321,15,18.3,2.2,0,,,
2002322,12.1,22.2,7.8,0,,,
2002323,7.6,21.7,14.4,0,,,
2002324,7.4,21.1,8.9,5.1,,,
2002325,15.7,21.1,6.7,6.1,,,
2002326,15.8,15,4.4,7.8,,,
2002327,15.7,22.2,2.8,0,,,
2002328,14.7,24.6,15.7,0,,,
2002329,13.2,25,10,0,,,
2002330,7.8,25,7.8,0,,,
2002331,6.1,20,4.4,10.7,,,
2002332,13.4,12.2,1.1,0,,,
2002333,14.2,17.8,0,0,,,
2002334,10.5,19.4,8.9,14.1,,,
2002335,12.6,13.3,3.9,0,,,
2002336,14,21.7,-1.1,5.1,,,
2002337,2.2,18.3,11.7,20.3,,,
2002338,3,20.6,5.6,20.7,,,
2002339,2.8,6.1,0.6,9.2,,,
2002340,14.5,4.4,1.1,0,,,
2002341,13,12.2,-1.1,8,,,
2002342,9,13.3,3.3,0,,,
2002343,9.8,15,3.3,1.3,,,
2002344,7.2,12.8,1.7,1.3,,,
2002345,10.5,12.2,6.7,8.7,,,
2002346,2.5,12.2,5,7,,,
2002347,12,14.4,8.9,0.1,,,
2002348,13.8,15,4.4,0,,,
2002349,13.9,17.8,0,6.3,,,
2002350,11.9,22.8,3.9,0,,,
2002351,12.3,23.3,12.8,0,,,
2002352,6.7,24.4,14.4,0,,,
2002353,5.4,23.9,12.8,2.8,,,
2002354,14.6,18.3,3.9,0,,,
2002355,10.9,18.3,3.3,24.1,,,
2002356,11.1,22.8,11.7,9.1,,,
2002357,3.4,22.8,13.9,13.9,,,
2002358,2.7,5.6,3.9,7.3,,,
2002359,11.7,8.9,1.7,0,,,
2002360,8.7,9.4,1.7,0,,,
2002361,11.4,16.7,3.3,24.1,,,
2002362,13,18.3,0.6,0,,,
2002363,11.5,18.3,12.8,0,,,
2002364,5.1,20.6,12.2,0,,,
2002365,4.1,25.3,16,17.6,,,
2003001,13.4,18.3,5.6,0,,,
2003002,12.2,17.3,7.6,0.1,,,
2003003,14.6,10.6,0.6,0,,,
2003004,14,16.7,0,2.6,,,
2003005,14.2,20,2.8,0,,,
2003006,14,17.8,3.3,0,,,
2003007,14,11.7,1.7,0,,,
2003008,14.3,18.9,-0.6,0,,,
2003009,6.6,20.6,5,0,,,
2003010,13.9,18.3,3.9,2.1,,,
2003011,9.1,9.4,1.7,4,,,
2003012,4.4,7.2,2.2,0,,,
2003013,14.5,12.2,1.1,0,,,
2003014,13.7,13.9,1.7,0,,,
2003015,14.1,17.2,2.2,0,,,
2003016,11.5,18.3,1.7,0,,,
2003017,15.7,6.1,-1.7,0,,,
2003018,16,11.7,-3.9,0,,,
2003019,15.8,17.2,-1.7,0,,,
2003020,9.1,21.7,6.1,8,,,
2003021,7.1,23.3,16.1,0,,,
2003022,6.4,19.4,16.7,0,,,
2003023,16.2,3.9,-7.2,0,,,
2003024,14.9,9.4,-2.2,7.5,,,
2003025,9.6,6.7,2.2,8.9,,,
2003026,3.7,14.4,0.6,0,,,
2003027,16,23.3,14.4,5.7,,,
2003028,7.9,14.4,0.6,0,,,
2003029,9.1,16.1,6.1,0,,,
2003030,6.1,12.2,2.2,1.9,,,
2003031,5.3,12.8,3.3,0,,,
2003032,17.1,20,1.1,0,,,
2003033,15.7,22.2,5.6,0,,,
2003034,6.1,22.8,12.2,4.1,,,
2003035,18,15,5,0,,,
2003036,8.9,11.7,2.8,0,,,
2003037,2.1,10.6,5.6,30.5,,,
2003038,3,6.7,1.7,0,,,
2003039,7.3,7.8,-0.6,6.2,,,
2003040,5.7,13.3,5,2.5,,,
2003041,13.7,13.9,4.4,2.6,,,
2003042,17.9,19.4,0.6,9.1,,,
2003043,15.6,21.1,4.4,0,,,
2003044,12.6,21.7,8.3,0,,,
2003045,10.5,25,13.3,10.4,,,
2003046,1.8,20.6,12.2,29.2,,,
2003047,4.9,14.4,3.3,0,,,
2003048,14.8,8.9,1.7,0,,,
2003049,19.2,17.8,1.7,0,,,
2003050,15.3,18.3,5.6,7.3,,,
2003051,7.1,20.6,13.9,60.7,,,
2003052,2.6,20.6,13.3,42.1,,,
2003053,7.5,16.7,6.7,54.6,,,
2003054,18.6,20.6,5.6,0,,,
2003055,10.9,17.8,10.6,4,,,
2003056,13.8,17.8,4.4,1.9,,,
2003057,4.5,13.3,6.7,5.1,,,
2003058,10.7,15,3.9,0,,,
2003059,4.7,11.7,6.1,0,,,
2003060,8,13.9,9.4,0,,,
2003061,12.8,16.7,7.8,0,,,
2003062,4.7,10,6.1,2.8,,,
2003063,7.6,15,6.7,2.3,,,
2003064,5.2,20,12.2,0.5,,,
2003065,5.7,17.2,10.6,0.7,,,
2003066,18.6,25,9.4,0,,,
2003067,9,17.8,11.1,0,,,
2003068,14.9,24.4,12.8,7.8,,,
2003069,20.2,24.4,7.8,4,,,
2003070,14.5,23.9,10,0,,,
2003071,13.6,21.7,10,0,,,
2003072,5.4,25.6,15.6,10.8,,,
2003073,15.1,21.7,12.8,0,,,
2003074,21,21.1,13.3,0,,,
2003075,6.2,17.8,12.2,26.9,,,
2003076,12,21.1,13.9,0.3,,,
2003077,9.3,25,12.2,5.7,,,
2003078,22.3,26.1,10,19.3,,,
2003079,23.5,26.7,11.1,0,,,
2003080,18.6,20,9.4,0,,,
2003081,21.1,22.2,8.3,11.9,,,
2003082,22.8,22.8,11.1,0,,,
2003083,24.4,22.5,14.5,0,,,
2003084,17,26.1,12.8,0,,,
2003085,6.5,26.1,14.4,0,,,
2003086,24.4,27.2,12.2,0,,,
2003087,19.1,27.2,11.1,3.8,,,
2003088,6.5,11.1,8.3,11.3,,,
2003089,26.6,13.9,4.4,0,,,
2003090,25.9,21.7,2.2,0,,,
2003091,25.9,23.3,10,0,,,
2003092,16.7,23.9,11.1,0,,,
2003093,17.1,27.8,15.6,0,,,
2003094,15.8,27.2,18.3,1.3,,,
2003095,7.7,21.7,17.2,10.4,,,
2003096,12.8,27.8,18.9,0,,,
2003097,3.1,24.4,17.8,9.8,,,
2003098,9.1,17.8,10.6,43.2,,,
2003099,10,11.7,4.4,0,,,
2003100,27.4,18.9,3.9,0,,,
2003101,22.4,23.3,4.4,0,,,
2003102,26.8,27.2,6.1,2,,,
2003103,26.7,28.9,6.1,0,,,
2003104,26.9,28.9,6.1,0,,,
2003105,26.1,28.3,10.6,0,,,
2003106,20.8,28.3,16.1,0,,,
2003107,27,29.4,16.1,0,,,
2003108,25.6,31.1,13.9,0,,,
2003109,13.8,27.8,18.3,0,,,
2003110,15.2,29.4,19.4,0,,,
2003111,20,26.1,17.2,2.1,,,
2003112,18.9,27.2,12.8,0,,,
2003113,20.2,28.3,14.4,0,,,
2003114,11.2,27.8,20.6,0.1,,,
2003115,20.2,31.1,20,2.5,,,
2003116,27.9,25.6,13.3,0,,,
2003117,28.1,27.8,11.7,0,,,
2003118,26.8,30.6,14.4,0,,,
2003119,26.4,30.6,15.6,0,,,
2003120,24.7,31.1,15,0,,,
2003121,21.3,26.4,7.4,0,,,
2003122,21.5,28.1,13.1,0,,,
2003123,21,32.8,20.6,0,,,
2003124,21.1,32.8,23.3,0,,,
2003125,14.8,31.7,23.3,0,,,
2003126,14.1,32.2,23.3,1.4,,,
2003127,17.4,32.8,22.8,0,,,
2003128,21.6,33.9,22.8,0,,,
2003129,21.8,33.3,23.3,0,,,
2003130,21.3,35,23.3,0,,,
2003131,14.2,28.9,21.1,0.1,,,
2003132,19.1,28.9,18.3,2.6,,,
2003133,16.7,28.3,18.3,0,,,
2003134,19.1,32.8,20,0,,,
2003135,17.9,32.2,22.2,0.7,,,
2003136,22,33.9,21.7,0,,,
2003137,13,30.6,22.2,3.2,,,
2003138,24.9,29.4,18.9,0,,,
2003139,20.1,31.7,20.6,0,,,
2003140,21.1,32.8,21.1,0,,,
2003141,17.4,27.8,21.7,0,,,
2003142,24.1,28.3,19.4,0,,,
2003143,28,30,16.7,0,,,
2003144,28.1,29.4,17.8,2.8,,,
2003145,21,32.2,18.3,0,,,
2003146,15.4,29.4,21.1,8.7,,,
2003147,19.6,25.6,18.9,0,,,
2003148,29.3,29.4,16.7,0,,,
2003149,28.9,32.2,14.4,0,,,
2003150,27.6,34.4,18.3,0,,,
2003151,27.6,34.4,20.6,12.7,,,
2003152,23.4,33.3,21.7,0,,,
2003153,17.5,34.4,21.7,9.7,,,
2003154,16.2,32.2,21.1,15.8,,,
2003155,17.6,30,20.6,0,,,
2003156,16.5,30.6,22.2,3.8,,,
2003157,17.9,30,22.8,1.5,,,
2003158,22.4,31.1,22.2,0,,,
2003159,26.8,32.8,20,5.1,,,
2003160,25.8,33.9,21.7,0,,,
2003161,21.8,34.4,23.9,0.4,,,
2003162,23.9,32.8,23.3,0,,,
2003163,12.5,29.4,21.1,8.9,,,
2003164,21,32.8,20,0,,,
2003165,15.2,30.6,22.2,12.9,,,
2003166,12.7,27.8,21.1,10.6,,,
2003167,15.7,28.9,21.1,0.7,,,
2003168,15.1,29.4,21.7,12.4,,,
2003169,24.6,32.2,21.7,0,,,
2003170,20.9,33.3,22.2,0,,,
2003171,17.8,31.1,23.3,11.1,,,
2003172,18.5,31.7,22.8,12.7,,,
2003173,24,32.8,23.9,10.2,,,
2003174,25.8,34.4,23.9,13.9,,,
2003175,24.2,36.1,24.4,0,,,
2003176,21.3,33.3,23.3,7,,,
2003177,18.6,33.3,23.3,0,,,
2003178,16.5,30,21.7,0,,,
2003179,20.4,30.6,22.2,0.7,,,
2003180,15,32.8,22.8,17.8,,,
2003181,5.1,23.9,22.2,4.7,,,
2003182,20.7,30,21.7,0,,,
2003183,23.9,33.3,22.2,0.4,,,
2003184,22.2,33.9,22.2,0,,,
2003185,13.3,33.9,22.8,16.6,,,
2003186,10.4,33.9,21.7,25.9,,,
2003187,16.5,22.8,21.7,0,,,
2003188,22.6,33.3,22.2,0,,,
2003189,19.6,34.4,22.2,14.2,,,
2003190,22.4,34.4,22.2,0.3,,,
2003191,16.6,34.4,22.2,1.9,,,
2003192,15.2,31.7,23.3,7.6,,,
2003193,25,33.3,22.8,2.5,,,
2003194,23.4,33.3,23.9,5.1,,,
2003195,18.6,33.3,21.7,0,,,
2003196,23.6,33.3,22.2,0,,,
2003197,24.9,33.3,22.2,7.8,,,
2003198,17.9,33.3,21.7,0,,,
2003199,26.2,33.3,22.2,0,,,
2003200,17.8,33.9,22.8,0,,,
2003201,24.1,33.9,25.6,0,,,
2003202,24.2,33.9,25.6,10.2,,,
2003203,19.7,33.9,24.4,0,,,
2003204,18.9,33.3,23.3,0.8,,,
2003205,20.4,32.2,22.8,0,,,
2003206,18.6,32.8,24.4,0,,,
2003207,19.5,31.7,23.3,0,,,
2003208,23.5,32.2,21.7,11.4,,,
2003209,24.2,35,22.8,3.8,,,
2003210,24,35.6,22.8,0,,,
2003211,22.8,35.6,23.9,0,,,
2003212,17.1,34.4,23.3,7.6,,,
2003213,23.4,34.4,22.8,0.9,,,
2003214,22.1,35,23.3,0,,,
2003215,23.2,35,24.4,10.2,,,
2003216,24.8,35,23.9,2.8,,,
2003217,16.8,31.7,24.4,0,,,
2003218,25.2,35.6,23.9,0,,,
2003219,20.6,35,25.6,0,,,
2003220,26,33.3,23.9,0,,,
2003221,23,33.9,22.8,0,,,
2003222,25.2,29.4,21.7,17.3,,,
2003223,12.8,28.9,20.6,13.8,,,
2003224,11.9,28.9,20.6,0,,,
2003225,15.3,30.6,20.6,0.1,,,
2003226,25.8,34.4,21.7,0,,,
2003227,23.9,35.6,25,0,,,
2003228,22.7,35,23.3,7.7,,,
2003229,22.1,35.6,23.3,17.1,,,
2003230,23.4,35,23.3,2.5,,,
2003231,19.7,33.3,25,0,,,
2003232,19.7,33.3,24.4,0,,,
2003233,15.1,32.8,22.2,1.5,,,
2003234,19.3,33.3,21.7,0,,,
2003235,20.4,33.9,22.8,1.3,,,
2003236,20.3,34.4,23.3,0,,,
2003237,19.8,35,23.9,0,,,
2003238,19.7,35.6,24.4,0,,,
2003239,20.2,35.6,24.4,0,,,
2003240,18.2,35.6,24.4,0.7,,,
2003241,20.8,35.6,23.3,0,,,
2003242,8.8,30,23.3,19.1,,,
2003243,14.9,31.7,23.3,11.4,,,
2003244,16.5,31.7,22.2,0.4,,,
2003245,21.9,31.7,23.9,0.8,,,
2003246,20.7,32.2,22.8,2.6,,,
2003247,14.4,32.2,23.3,6,,,
2003248,17.5,32.2,20,7.8,,,
2003249,23.3,27.2,16.1,0,,,
2003250,18.4,28.9,21.7,0,,,
2003251,19.2,32.2,20.6,0,,,
2003252,20.6,33.3,21.7,0,,,
2003253,21.7,33.9,21.1,4.7,,,
2003254,14.6,32.8,22.8,22,,,
2003255,10.9,30,22.2,0,,,
2003256,16.1,28.9,22.2,3.3,,,
2003257,21.7,31.1,22.2,0,,,
2003258,23.1,30,20.6,0,,,
2003259,24.3,29.4,17.8,0,,,
2003260,23.7,30,16.7,14.2,,,
2003261,22.9,31.1,16.1,0,,,
2003262,22.5,32.2,16.7,0,,,
2003263,13.8,30.6,19.4,0,,,
2003264,4.8,26.7,22.8,5.1,,,
2003265,14.5,27.8,19.4,6,,,
2003266,22.8,30.6,16.7,0,,,
2003267,21.1,26.4,17.7,0,,,
2003268,20.7,31.1,18.3,0,,,
2003269,15.3,32.2,21.1,0,,,
2003270,19.2,31.7,21.7,0,,,
2003271,22.9,28.3,16.7,0,,,
2003272,23.3,24.4,13.3,0,,,
2003273,22.7,26.1,12.8,2.8,,,
2003274,22,20,12.2,0,,,
2003275,22.4,23.9,11.7,1.9,,,
2003276,21.6,26.1,10.6,3.8,,,
2003277,20.8,29.4,11.1,0,,,
2003278,20.1,31.4,16,0,,,
2003279,13,29.4,16.7,0,,,
2003280,13.7,29.4,18.9,3.3,,,
2003281,12.4,29.4,18.3,0,,,
2003282,6,25,19.4,3.3,,,
2003283,5.6,23.3,21.1,12.2,,,
2003284,8.8,25.6,20.6,0,,,
2003285,15.7,27.8,17.8,0,,,
2003286,10.8,25.6,18.3,0,,,
2003287,13.9,28.9,8.9,0,,,
2003288,20.6,32.1,17,3.2,,,
2003289,20,26.1,8.9,2.3,,,
2003290,15.3,28.9,13.3,0,,,
2003291,19.1,23.9,12.8,0,,,
2003292,19.8,27.2,11.1,0,,,
2003293,19.6,21.1,14.4,0,,,
2003294,19.5,30,11.1,0,,,
2003295,18.9,29.4,11.7,0,,,
2003296,19,29.4,12.8,0,,,
2003297,16.8,30,13.9,0,,,
2003298,8.5,27.2,19.4,5.7,,,
2003299,5,20.6,12.2,0,,,
2003300,4.8,16.1,7.2,8.3,,,
2003301,18.2,17.6,9.1,0,,,
2003302,17.8,26.7,8.3,0,,,
2003303,14.2,27.8,13.9,0,,,
2003304,16.4,30,17.2,0,,,
2003305,14.1,30,17.8,0,,,
2003306,15.8,29.4,15.6,0,,,
2003307,17.4,30,12.8,0,,,
2003308,14,29.4,12.8,0,,,
2003309,14.5,30.6,18.3,1.3,,,
2003310,14.1,28.3,13.9,0,,,
2003311,11.3,23.3,12.8,0,,,
2003312,12.5,22.2,11.1,0,,,
2003313,15,25.6,13.3,0,,,
2003314,8.8,22.8,13.3,2.5,,,
2003315,13.4,27.2,13.9,0,,,
2003316,12.8,28.9,16.7,0,,,
2003317,15.8,23.9,8.9,0,,,
2003318,16,20.6,6.1,0,,,
2003319,11.9,25.6,7.2,11.4,,,
2003320,5.9,20,16.7,1.3,,,
2003321,6.9,23.3,13.9,19.1,,,
2003322,5.8,23.3,13.3,0,,,
2003323,16.4,18.9,5,0,,,
2003324,16.3,23.9,3.3,0,,,
2003325,11.4,23.3,7.2,25.4,,,
2003326,10.4,26.7,16.7,20.3,,,
2003327,10,27.8,7.8,7.6,,,
2003328,15.8,11.1,1.7,0.9,,,
